the, 27, 0.06, 0.0
pepsi, 22, 0.05, 0.15
one, 19, 0.04, 0.04
was, 11, 0.02, 0.0
in, 10, 0.02, 0.0
and, 10, 0.02, 0.0
of, 10, 0.02, 0.0
to, 8, 0.02, 0.0
a, 7, 0.02, 0.0
that, 7, 0.02, 0.01
with, 5, 0.01, 0.0
logo, 5, 0.01, 0.03
as, 4, 0.01, 0.0
be, 4, 0.01, 0.0
it, 4, 0.01, 0.0
other, 4, 0.01, 0.01
been, 3, 0.01, 0.01
using, 3, 0.01, 0.02
an, 3, 0.01, 0.0
current, 3, 0.01, 0.02
by, 3, 0.01, 0.0
late, 3, 0.01, 0.01
has, 3, 0.01, 0.01
its, 3, 0.01, 0.01
for, 3, 0.01, 0.0
per, 3, 0.01, 0.01
used, 3, 0.01, 0.01
pepsico, 3, 0.01, 0.03
calorie, 3, 0.01, 0.03
diet, 3, 0.01, 0.03
will, 3, 0.01, 0.01
